n,fib,runtime
1,1,2.3154372110492e-06
2,1,1.55486591630455e-06
3,2,3.11132879060753e-06
4,3,1.79339384693745e-06
5,5,1.29711810156824e-06
6,8,1.25160186935722e-06
7,13,1.64198261736197e-06
8,21,9.95092696807332e-07
9,34,9.20199507741672e-07
10,55,1.04315230491193e-06
11,89,9.50791647170631e-07
12,144,9.99773521123935e-07
13,233,9.78241729267559e-07
14,377,1.00913516975714e-06
15,610,9.89475707627408e-07
16,987,1.00900689965432e-06
17,1597,9.9228420221737e-07
18,2584,1.06904972100967e-06
19,4181,9.801140589942e-07
20,6765,9.94156531944011e-07
21,10946,9.91348037354049e-07
22,17711,9.58582267137823e-07
23,28657,1.00164585085058e-06
24,46368,9.20199507741672e-07
25,75025,9.98837356260615e-07
26,121393,9.801140589942e-07
27,196418,1.0025820157139e-06
28,317811,9.93728275310404e-07
29,514229,1.0250499724336e-06
30,832040,1.03253929134016e-06
31,1346269,1.01568832380039e-06
32,2178309,9.90411872490728e-07
33,3524578,1.0072628400305e-06
34,5702887,1.02785846702356e-06
35,9227465,1.01287982921043e-06
