n,fib,runtime
1,1,1.36666729326958e-06
2,1,9.83906302517884e-07
3,2,1.6605248267379e-06
4,3,2.58286980425559e-06
5,5,2.2967728847978e-06
6,8,3.56819346978652e-06
7,13,2.25606743700046e-06
8,21,4.04544906051031e-06
9,34,4.12763604752282e-06
10,55,5.83340946014906e-06
11,89,9.35563543025229e-06
12,144,1.47299585154622e-05
13,233,4.00537429607245e-05
14,377,5.08594366975065e-05
15,610,7.42425924428815e-05
16,987,0.000130183849803911
17,1597,0.000162646905762069
18,2584,0.000370384577955064
19,4181,0.000643414264330167
20,6765,0.000628796986154277
21,10946,0.00100805609558278
22,17711,0.0016387007847108
23,28657,0.00264966334828115
24,46368,0.00423860099215763
25,75025,0.00689934068174195
26,121393,0.0111122772889769
27,196418,0.0177327191179381
28,317811,0.0288864924892869
29,514229,0.0463659917566452
30,832040,0.0752710667571094
31,1346269,0.121850011318514
32,2178309,0.204308052816572
33,3524578,0.32554296788426
34,5702887,0.524875234814722
35,9227465,0.850990661534553
